task,f1_mean,f1_median,roc_auc_mean,roc_auc_median,pr_auc_mean,pr_auc_median
Detection,0.6631643352954828,1.0,0.8690057915057915,1.0,0.8831494380836485,1.0
Onset,0.6066318419259595,0.6666666666666666,0.7961111111111111,1.0,0.8260632702828266,1.0
