fold_id,min,max,mean,std,nan_count,inf_count,near_zero_variance_components
0,-17009.738891355228,255877.89110948294,-11.732340418908944,2617.329703544978,0,0,0
1,-17009.766129196694,255881.69566483365,-11.717139292807413,2614.8301803935256,0,0,0
2,-17009.663499124174,255867.3527731386,-11.825229728583707,2624.3719717139106,0,0,0
3,-17009.65666917079,255866.3892972446,-11.83566232497384,2624.877660520572,0,0,0
4,-17009.63602572014,255863.49411257613,-11.846145082076173,2626.899586248099,0,0,0
5,-17009.53867689539,255849.8731016531,-11.876577149126136,2636.0579333607507,0,0,0
6,-17009.510665314334,255845.9464932995,-11.896850743088656,2638.61949735597,0,0,0
7,-17009.482581498996,255842.00632762062,-11.93609036033174,2640.677217772593,0,0,0
8,-17009.44011592209,255836.06701554294,-11.925615978634733,2644.7970033672304,0,0,0
9,-17009.461311920084,255839.04046257562,-11.938632408032113,2642.735487587913,0,0,0
10,-17009.72052333156,255891.07555494137,-11.767321543423659,2608.624819504601,0,0,0
11,-17009.699882181496,255888.28758655954,-11.775660054203652,2610.610175691893,0,0,0
12,-17009.610212916465,255876.0311316823,-11.84188971977071,2618.6002172183476,0,0,0
13,-17009.624204957167,255877.95055180878,-11.841362902368774,2617.098589157655,0,0,0
14,-17009.561518774884,255869.40631482546,-11.867045040507247,2623.1261706898945,0,0,0
15,-17009.463155214125,255855.95392933048,-11.942568717915764,2631.741994265222,0,0,0
16,-17009.04802156167,255798.996501512,-12.936482509828696,2652.4608371160843,0,0,0
17,-17009.66940187831,255884.57662234365,-11.816983298855133,2612.604407084984,0,0,0
18,-17009.70386625172,255889.2487699008,-11.789304293395562,2609.6193494520253,0,0,0
19,-1362.0017903788312,13212.796608436993,-0.05308497925709362,73.60033154234053,0,0,0
20,-1361.8211311462874,13212.794737840666,-0.035151998750275665,73.59102388947548,0,0,0
21,-1361.8211311462874,13212.794737840666,-0.035151998750275665,73.59102388947548,0,0,0
22,-1361.8211311462874,13212.794737840666,-0.035151998750275665,73.59102388947548,0,0,0
23,-1361.8211311462874,13212.794737840666,-0.035151998750275665,73.59102388947548,0,0,0
24,-1361.8211311462874,13212.794737840666,-0.035151998750275665,73.59102388947548,0,0,0
25,-1361.8211311462874,13212.794737840666,-0.035151998750275665,73.59102388947548,0,0,0
26,-1361.8211311462874,13212.794737840666,-0.035151998750275665,73.59102388947548,0,0,0
27,-1361.8211311462874,13212.794737840666,-0.035151998750275665,73.59102388947548,0,0,0
28,-1361.8211311462874,13212.794737840666,-0.035151998750275665,73.59102388947548,0,0,0
29,-1361.8211311462874,13212.794737840666,-0.035151998750275665,73.59102388947548,0,0,0
30,-1361.8211311462874,13212.794737840666,-0.035151998750275665,73.59102388947548,0,0,0
31,-1361.8211311462874,13212.794737840666,-0.035151998750275665,73.59102388947548,0,0,0
32,-1361.8211311462874,13212.794737840666,-0.035151998750275665,73.59102388947548,0,0,0
33,-1361.8211311462874,13212.794737840666,-0.035151998750275665,73.59102388947548,0,0,0
34,-1361.8211311462874,13212.794737840666,-0.035151998750275665,73.59102388947548,0,0,0
35,-1361.8211311462874,13212.794737840666,-0.035151998750275665,73.59102388947548,0,0,0
36,-1361.8211311462874,13212.794737840666,-0.035151998750275665,73.59102388947548,0,0,0
