fold_id,completed,roc_auc,pr_auc,f1,precision,recall,fpr,validation_selected_threshold,fixed_038_f1
0,True,0.8800000000000001,0.7822546897546897,0.6666666666666666,0.5,1.0,1.0,0.1,0.0
1,True,0.5555555555555556,0.6583300349125158,0.6666666666666666,0.5,1.0,1.0,0.3,0.0
2,True,1.0,1.0,0.15384615384615385,0.08333333333333333,1.0,1.0,0.1,1.0
3,True,1.0,1.0,0.4,0.25,1.0,0.6,0.3,0.0
4,True,0.0,0.16666666666666666,0.2857142857142857,0.16666666666666666,1.0,1.0,0.1,0.0
5,True,0.39999999999999997,0.43333333333333335,0.0,0.0,0.0,0.4,0.25,0.0
6,True,0.0,0.3179563492063492,0.6153846153846154,0.4444444444444444,1.0,1.0,0.2,0.0
7,True,0.8,0.7555555555555555,0.75,0.6,1.0,0.4,0.25,0.0
8,True,0.0,0.3412948162948163,0.0,0.0,0.0,1.0,0.3,0.0
9,True,0.0,0.3543650793650793,0.0,0.0,0.0,1.0,0.35,0.0
10,True,1.0,1.0,0.15384615384615385,0.08333333333333333,1.0,1.0,0.1,1.0
11,True,1.0,1.0,0.6153846153846154,0.4444444444444444,1.0,1.0,0.1,1.0
12,True,1.0,0.9999999999999999,0.6666666666666666,0.5,1.0,1.0,0.1,0.8888888888888888
13,True,1.0,1.0,0.2857142857142857,0.16666666666666666,1.0,1.0,0.1,0.2857142857142857
14,True,1.0,1.0,0.6666666666666666,0.5,1.0,1.0,0.1,0.0
15,True,1.0,1.0,0.8,0.6666666666666666,1.0,0.5,0.25,1.0
16,True,1.0,1.0,0.6666666666666666,0.5,1.0,1.0,0.25,0.7021276595744681
17,True,1.0,1.0,0.6666666666666666,0.5,1.0,1.0,0.1,0.75
18,True,1.0,0.9999999999999998,0.6666666666666666,0.5,1.0,1.0,0.1,0.0
19,True,1.0,1.0,0.15384615384615385,0.08333333333333333,1.0,1.0,0.1,0.6666666666666666
20,True,1.0,1.0,0.2857142857142857,0.16666666666666666,1.0,1.0,0.1,1.0
21,True,1.0,1.0,0.2857142857142857,0.16666666666666666,1.0,1.0,0.1,1.0
22,True,1.0,1.0,0.2857142857142857,0.16666666666666666,1.0,1.0,0.15,1.0
23,True,0.8,0.5,0.2857142857142857,0.16666666666666666,1.0,1.0,0.1,0.2857142857142857
24,True,1.0,1.0,0.2857142857142857,0.16666666666666666,1.0,1.0,0.1,0.2857142857142857
25,True,0.8,0.5,0.2857142857142857,0.16666666666666666,1.0,1.0,0.1,0.2857142857142857
26,True,0.8,0.5,0.2857142857142857,0.16666666666666666,1.0,1.0,0.1,0.2857142857142857
27,True,0.8,0.5,0.2857142857142857,0.16666666666666666,1.0,1.0,0.1,0.2857142857142857
28,True,0.8,0.5,0.2857142857142857,0.16666666666666666,1.0,1.0,0.1,0.2857142857142857
29,True,0.6,0.3333333333333333,0.2857142857142857,0.16666666666666666,1.0,1.0,0.1,0.2857142857142857
30,True,0.6,0.41666666666666663,0.4444444444444444,0.2857142857142857,1.0,1.0,0.1,0.4444444444444444
31,True,0.6,0.3333333333333333,0.2857142857142857,0.16666666666666666,1.0,1.0,0.1,0.2857142857142857
32,True,0.4,0.25,0.2857142857142857,0.16666666666666666,1.0,1.0,0.1,0.2857142857142857
33,True,0.4,0.25,0.2857142857142857,0.16666666666666666,1.0,1.0,0.1,0.2857142857142857
34,True,0.4,0.25,0.2857142857142857,0.16666666666666666,1.0,1.0,0.1,0.2857142857142857
35,True,0.0,0.16666666666666666,0.2857142857142857,0.16666666666666666,1.0,1.0,0.1,0.2857142857142857
36,True,0.0,0.16666666666666666,0.2857142857142857,0.16666666666666666,1.0,1.0,0.1,0.2857142857142857
