model,next_state_error,rollout_K1_mean_mse,rollout_K1_cumulative_mse,rollout_K2_mean_mse,rollout_K2_cumulative_mse,rollout_K3_mean_mse,rollout_K3_cumulative_mse
fused,2512055.957201087,2512055.957201087,2512055.957201087,2512823.0521716103,5025646.104343221,2513215.889866505,7539647.669599514
temporal_only,2512646.680932971,2512646.680932971,2512646.680932971,2513252.8704978814,5026505.740995763,2513529.440559264,7540588.321677791
