horizon,fold_id,train_loss,val_loss,f1,precision,recall,fpr,roc_auc,pr_auc,tp,fp,tn,fn
2,12,0.14174105944146825,0.8901576882634084,1.0,1.0,1.0,0.0,1.0,0.9999999999999999,10,0,10,0
2,13,0.13288528680018957,0.9469961916203835,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
2,14,0.12177202756528457,0.759274389365009,1.0,1.0,1.0,0.0,1.0,1.0,8,0,8,0
2,15,0.1169089798515959,1.0390711171286446,1.0,1.0,1.0,0.0,1.0,1.0,12,0,12,0
2,16,0.13235737091742125,0.8717067287695454,0.0,0.0,0.0,0.0,1.0,1.0,0,0,33,33
2,17,0.1414938744807333,0.7543043198408904,0.9230769230769231,0.8571428571428571,1.0,0.16666666666666666,1.0,1.0,6,1,5,0
2,18,0.14290394990462077,0.7428656710714597,0.8,0.6666666666666666,1.0,0.375,1.0,1.0,6,3,5,0
2,19,0.15531723499996042,0.7978187596731838,0.0,0.0,0.0,0.0,0.8518518518518519,0.7,0,0,9,3
2,20,0.12429823585779382,0.9510490423638882,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
2,21,0.15545025227081022,0.8289903846614035,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
2,22,0.1330091489457135,0.8916802718630576,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
2,23,0.13152660106328387,0.8889583850698718,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
2,24,0.11221492751141622,0.8507628005369123,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
2,25,0.11645493020218485,0.9193701414164582,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
2,26,0.12094666539436202,0.9433716394804501,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
2,27,0.13191346251852898,0.9565033477170881,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
2,28,0.12416067305926137,0.782235425776661,0.0,0.0,0.0,0.16666666666666666,,,0,1,5,0
2,29,0.1425999669824886,0.7907188440160998,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
2,30,0.1326193873929754,0.6994066713480932,1.0,1.0,1.0,0.0,1.0,1.0,2,0,5,0
2,31,0.11495818863568318,1.127941863563228,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
2,32,0.10891765963626411,0.8613016341445191,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
2,33,0.11910359925945972,0.9021185500155515,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
2,34,0.11790182678425898,0.9388488196798797,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
2,35,0.122299673982331,0.7949187460860643,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
2,36,0.11496943270992618,0.7624015548572329,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
5,0,0.15415014571176386,0.7740635676898034,0.0,0.0,0.0,0.0,1.0,0.9999999999999999,0,0,10,10
5,1,0.09993545739804509,0.9051513198576522,0.0,0.0,0.0,0.0,1.0,1.0,0,0,12,12
5,2,0.10906125997242175,0.7636587642063605,0.0,0.0,0.0,0.0,0.888888888888889,0.9333333333333333,0,0,6,6
5,3,0.10431195297888153,0.7628014116643745,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
