fold_id,feature,coefficient,abs_coefficient
0,duration_microsec_mean,0.09432210134291122,0.09432210134291122
0,duration_microsec_std,0.20814764895054175,0.20814764895054175
0,duration_microsec_sum,-0.06550308268347542,0.06550308268347542
0,duration_microsec_min,0.0904754412055896,0.0904754412055896
0,duration_microsec_max,0.29561520868319113,0.29561520868319113
0,packet_count_fwd_mean,0.5577941333078728,0.5577941333078728
0,packet_count_fwd_std,-0.26546065643120975,0.26546065643120975
0,packet_count_fwd_sum,0.23286034697962066,0.23286034697962066
0,packet_count_fwd_min,0.1397108801310198,0.1397108801310198
0,packet_count_fwd_max,-0.02832898073377349,0.02832898073377349
0,packet_count_bwd_mean,0.5598004204656862,0.5598004204656862
0,packet_count_bwd_std,1.1002102994506469,1.1002102994506469
0,packet_count_bwd_sum,0.035604189317122184,0.035604189317122184
0,packet_count_bwd_min,-0.15927168249488147,0.15927168249488147
0,packet_count_bwd_max,0.24662293153334772,0.24662293153334772
0,byte_count_fwd_mean,-0.07176004097223009,0.07176004097223009
0,byte_count_fwd_std,-0.7483843079871763,0.7483843079871763
0,byte_count_fwd_sum,-0.19860336855722238,0.19860336855722238
0,byte_count_fwd_min,0.19427684698128236,0.19427684698128236
0,byte_count_fwd_max,1.3295094920660215,1.3295094920660215
0,byte_count_bwd_mean,-0.5724339887638328,0.5724339887638328
0,byte_count_bwd_std,-1.555677072395057,1.555677072395057
0,byte_count_bwd_sum,-0.45308782789588037,0.45308782789588037
0,byte_count_bwd_min,0.0545801230603103,0.0545801230603103
0,byte_count_bwd_max,-0.6445232762611933,0.6445232762611933
0,fwd_pkt_len_max_mean,0.21139860389115475,0.21139860389115475
0,fwd_pkt_len_max_std,-1.6679602733859458,1.6679602733859458
0,fwd_pkt_len_max_sum,0.38873837671229744,0.38873837671229744
0,fwd_pkt_len_max_min,-0.05443679749330531,0.05443679749330531
0,fwd_pkt_len_max_max,0.49013952636683317,0.49013952636683317
0,fwd_pkt_len_min_mean,-0.19201353777181654,0.19201353777181654
0,fwd_pkt_len_min_std,0.007659505611080218,0.007659505611080218
0,fwd_pkt_len_min_sum,-0.15087257238500687,0.15087257238500687
0,fwd_pkt_len_min_min,0.04504892809870515,0.04504892809870515
0,fwd_pkt_len_min_max,-0.018786227465599877,0.018786227465599877
0,fwd_pkt_len_mean_mean,-0.21918859706818822,0.21918859706818822
0,fwd_pkt_len_mean_std,0.011255827171131291,0.011255827171131291
0,fwd_pkt_len_mean_sum,0.43539499009377425,0.43539499009377425
0,fwd_pkt_len_mean_min,0.012119443098384548,0.012119443098384548
0,fwd_pkt_len_mean_max,0.012131252713207615,0.012131252713207615
0,fwd_pkt_len_std_mean,1.99752570333552,1.99752570333552
0,fwd_pkt_len_std_std,0.9001118650633352,0.9001118650633352
