k,model,rmse,mae,mse,protocol
1,lstm_gaussian,1.9203990697860718,0.5679918527603149,3.6879327297210693,chronological split
1,persistence,3.1483232975006104,0.45911872386932373,9.91193962097168,chronological split
1,lagged_linear_pca,248.736572265625,16.743824005126953,61869.87890625,chronological split
2,lstm_gaussian,2.6613008975982666,0.7654134035110474,7.082522392272949,chronological split
2,persistence,3.0458977222442627,0.43805059790611267,9.277493476867676,chronological split
2,lagged_linear_pca,1698.1888427734375,97.27071380615234,2883845.25,chronological split
3,lstm_gaussian,4.326893329620361,1.0696107149124146,18.722003936767578,chronological split
3,persistence,3.8918023109436035,0.4925898313522339,15.146125793457031,chronological split
3,lagged_linear_pca,8989.4404296875,573.9324340820312,80810032.0,chronological split
