fold_id,episode_id,test_samples,test_positives,v2_accuracy,v2_precision,v2_recall,v2_f1,v2_tp,v2_fp,v2_fn,v2_tn,phase2_f1,f1_delta,f1_status
10,14-02-2018_SSH-Bruteforce_0,12,1,1.0,1.0,1.0,1.0,1,0,0,11,1.0,0.0,MATCH
11,14-02-2018_SSH-Bruteforce_1,9,4,1.0,1.0,1.0,1.0,4,0,0,5,1.0,0.0,MATCH
12,14-02-2018_SSH-Bruteforce_2,20,10,1.0,1.0,1.0,1.0,10,0,0,10,1.0,0.0,MATCH
13,14-02-2018_SSH-Bruteforce_3,6,1,1.0,1.0,1.0,1.0,1,0,0,5,1.0,0.0,MATCH
14,14-02-2018_SSH-Bruteforce_4,16,8,1.0,1.0,1.0,1.0,8,0,0,8,1.0,0.0,MATCH
15,14-02-2018_SSH-Bruteforce_5,24,12,1.0,1.0,1.0,1.0,12,0,0,12,1.0,0.0,MATCH
16,14-02-2018_SSH-Bruteforce_6,66,33,0.5,0.0,0.0,0.0,0,0,33,33,0.0,0.0,MATCH
17,14-02-2018_SSH-Bruteforce_7,12,6,1.0,1.0,1.0,1.0,6,0,0,6,1.0,0.0,MATCH
18,14-02-2018_SSH-Bruteforce_8,14,7,1.0,1.0,1.0,1.0,7,0,0,7,1.0,0.0,MATCH
