task,attack_type,is_multi_episode,fold,held_out_ep,held_out_day,test_attack_windows,test_benign_windows,test_total,excluded_windows,train_total,a_f1,a_prec,a_rec,a_prauc,b_f1,b_prec,b_rec,b_prauc
detection,Botnet,True,31,02-03-2018_Botnet_1,02-03-2018,12,13,25,0,2762,0.9411764705882352,0.8888888888888888,1.0,0.9448529411764706,0.9411764705882352,0.8888888888888888,1.0,0.9455422794117648
detection,Botnet,True,32,02-03-2018_Botnet_2,02-03-2018,1,10,11,0,2776,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,1.0,1.0
detection,Botnet,True,33,02-03-2018_Botnet_3,02-03-2018,1,10,11,0,2776,0.8888888888888888,1.0,0.8,0.8909090909090909,0.7272727272727273,0.6666666666666666,0.8,0.835
detection,Botnet,True,34,02-03-2018_Botnet_4,02-03-2018,1,10,11,0,2776,0.8571428571428571,1.0,0.75,1.0,0.75,0.75,0.75,0.8541666666666666
detection,Botnet,True,35,02-03-2018_Botnet_5,02-03-2018,4,10,14,0,2773,1.0,1.0,1.0,1.0,0.8,0.6666666666666666,1.0,0.9583333333333334
detection,Botnet,True,36,02-03-2018_Botnet_6,02-03-2018,4,10,14,0,2773,1.0,1.0,1.0,1.0,0.8333333333333334,0.7142857142857143,1.0,1.0
detection,Botnet,True,37,02-03-2018_Botnet_7,02-03-2018,3,10,13,0,2774,0.8571428571428571,0.75,1.0,1.0,0.6666666666666666,0.5,1.0,1.0
detection,Botnet,True,38,02-03-2018_Botnet_8,02-03-2018,7,10,17,0,2770,1.0,1.0,1.0,1.0,0.8571428571428571,0.75,1.0,1.0
detection,Botnet,True,39,02-03-2018_Botnet_9,02-03-2018,5,10,15,0,2772,0.9333333333333332,1.0,0.875,0.9861111111111112,0.9411764705882352,0.8888888888888888,1.0,0.9704861111111112
forecasting,SSH-Bruteforce,True,0,14-02-2018_SSH-Bruteforce_0,14-02-2018,6,10,11,5,2771,0.0,0.0,0.0,0.5454545454545454,0.2857142857142857,1.0,0.1666666666666666,0.9047619047619048
forecasting,SSH-Bruteforce,True,1,14-02-2018_SSH-Bruteforce_1,14-02-2018,4,10,8,6,2773,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.5
forecasting,SSH-Bruteforce,True,2,14-02-2018_SSH-Bruteforce_2,14-02-2018,10,10,9,11,2767,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,1.0
forecasting,SSH-Bruteforce,True,3,14-02-2018_SSH-Bruteforce_3,14-02-2018,1,10,8,3,2776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
forecasting,SSH-Bruteforce,True,4,14-02-2018_SSH-Bruteforce_4,14-02-2018,8,10,7,11,2769,0.0,0.0,0.0,0.2,1.0,1.0,1.0,1.0
forecasting,SSH-Bruteforce,True,5,14-02-2018_SSH-Bruteforce_5,14-02-2018,12,13,10,15,2762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
forecasting,SSH-Bruteforce,True,6,14-02-2018_SSH-Bruteforce_6,14-02-2018,33,33,25,41,2721,0.0,0.0,0.0,0.0454545454545454,0.0,0.0,0.0,0.1
forecasting,SSH-Bruteforce,True,7,14-02-2018_SSH-Bruteforce_7,14-02-2018,6,10,7,9,2771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
forecasting,SSH-Bruteforce,True,8,14-02-2018_SSH-Bruteforce_8,14-02-2018,7,10,8,9,2770,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
forecasting,DDOS-LOIC-UDP,True,10,21-02-2018_DDOS-LOIC-UDP_0,21-02-2018,6,10,10,6,2771,0.3333333333333333,1.0,0.2,0.6000000000000001,1.0,1.0,1.0,1.0
