attack_type,fold,held_out_ep,held_out_day,test_attack_windows,test_benign_windows,test_total,excluded_windows,train_total,benign_day_breakdown,a_f1,a_prec,a_rec,a_prauc,b_f1,b_prec,b_rec,b_prauc
DDOS-LOIC-UDP,11,50,21-02-2018,1,11,9,3,2915,"{'01-03-2018': 2, '02-03-2018': 2, '14-02-2018': 2, '21-02-2018': 1, '22-02-2018': 2, '28-02-2018': 2}",0.0,0.0,0.0,0.25,0.8,0.6666666666666666,1.0,0.8333333333333333
DDOS-LOIC-UDP,12,52,21-02-2018,1,11,9,3,2915,"{'01-03-2018': 2, '02-03-2018': 2, '14-02-2018': 2, '21-02-2018': 1, '22-02-2018': 2, '28-02-2018': 2}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DDOS-LOIC-UDP,13,54,21-02-2018,1,11,9,3,2915,"{'01-03-2018': 2, '02-03-2018': 2, '14-02-2018': 2, '21-02-2018': 1, '22-02-2018': 2, '28-02-2018': 2}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DDOS-LOIC-UDP,14,56,21-02-2018,1,11,9,3,2915,"{'01-03-2018': 2, '02-03-2018': 2, '14-02-2018': 2, '21-02-2018': 1, '22-02-2018': 2, '28-02-2018': 2}",0.0,0.0,0.0,0.375,0.6666666666666666,0.5,1.0,0.5
DDOS-LOIC-UDP,15,58,21-02-2018,1,11,7,5,2915,"{'01-03-2018': 2, '02-03-2018': 2, '14-02-2018': 2, '21-02-2018': 1, '22-02-2018': 2, '28-02-2018': 2}",1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,1.0
DDOS-LOIC-UDP,16,60,21-02-2018,1,11,7,5,2915,"{'01-03-2018': 2, '02-03-2018': 2, '14-02-2018': 2, '21-02-2018': 1, '22-02-2018': 2, '28-02-2018': 2}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DDOS-LOIC-UDP,17,62,21-02-2018,1,11,9,3,2915,"{'01-03-2018': 2, '02-03-2018': 2, '14-02-2018': 2, '21-02-2018': 1, '22-02-2018': 2, '28-02-2018': 2}",0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.14285714285714285
SSH-Bruteforce,0,3,14-02-2018,11,11,16,6,2905,"{'01-03-2018': 2, '02-03-2018': 2, '14-02-2018': 2, '21-02-2018': 1, '22-02-2018': 2, '28-02-2018': 2}",0.0,0.0,0.0,0.8125,0.14285714285714285,1.0,0.07692307692307693,0.926405325443787
SSH-Bruteforce,1,5,14-02-2018,4,11,7,8,2912,"{'01-03-2018': 2, '02-03-2018': 2, '14-02-2018': 2, '21-02-2018': 1, '22-02-2018': 2, '28-02-2018': 2}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSH-Bruteforce,2,7,14-02-2018,10,11,11,10,2906,"{'01-03-2018': 2, '02-03-2018': 2, '14-02-2018': 2, '21-02-2018': 1, '22-02-2018': 2, '28-02-2018': 2}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSH-Bruteforce,3,9,14-02-2018,1,11,8,4,2915,"{'01-03-2018': 2, '02-03-2018': 2, '14-02-2018': 2, '21-02-2018': 1, '22-02-2018': 2, '28-02-2018': 2}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSH-Bruteforce,4,11,14-02-2018,8,11,8,11,2908,"{'01-03-2018': 2, '02-03-2018': 2, '14-02-2018': 2, '21-02-2018': 1, '22-02-2018': 2, '28-02-2018': 2}",0.0,0.0,0.0,0.16666666666666666,1.0,1.0,1.0,1.0
SSH-Bruteforce,5,13,14-02-2018,12,13,10,15,2902,"{'01-03-2018': 2, '02-03-2018': 2, '14-02-2018': 2, '21-02-2018': 1, '22-02-2018': 3, '28-02-2018': 3}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSH-Bruteforce,6,15,14-02-2018,33,33,25,41,2861,"{'01-03-2018': 5, '02-03-2018': 6, '14-02-2018': 6, '21-02-2018': 2, '22-02-2018': 7, '28-02-2018': 7}",0.0,0.0,0.0,0.17045454545454547,0.5714285714285714,0.4,1.0,1.0
SSH-Bruteforce,7,17,14-02-2018,6,11,7,10,2910,"{'01-03-2018': 2, '02-03-2018': 2, '14-02-2018': 2, '21-02-2018': 1, '22-02-2018': 2, '28-02-2018': 2}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSH-Bruteforce,8,19,14-02-2018,7,11,9,9,2909,"{'01-03-2018': 2, '02-03-2018': 2, '14-02-2018': 2, '21-02-2018': 1, '22-02-2018': 2, '28-02-2018': 2}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
