fold_id,threshold,validation_f1,test_f1,test_precision,test_recall,test_fpr,selected_on_validation
0,0.1,0.6059405940594059,0.0,0.0,0.0,0.0,False
0,0.15,0.6059405940594059,0.0,0.0,0.0,0.0,False
0,0.2,0.6059405940594059,0.0,0.0,0.0,0.0,False
0,0.25,0.6059405940594059,0.0,0.0,0.0,0.0,False
0,0.3,0.6059405940594059,0.0,0.0,0.0,0.0,False
0,0.35,0.6059405940594059,0.0,0.0,0.0,0.0,False
0,0.38,0.6059405940594059,0.0,0.0,0.0,0.0,False
0,0.4,0.6428571428571429,0.0,0.0,0.0,0.0,True
0,0.45,0.0,0.0,0.0,0.0,0.0,False
0,0.5,0.0,0.0,0.0,0.0,0.0,False
0,0.6,0.0,0.0,0.0,0.0,0.0,False
0,0.7,0.0,0.0,0.0,0.0,0.0,False
0,0.8,0.0,0.0,0.0,0.0,0.0,False
0,0.9,0.0,0.0,0.0,0.0,0.0,False
