removed_fold_id,attack_type,loo_roc_auc,shift_from_global,flag_shift_gt_05
0,unknown,0.8711679929991523,0.005102504049488643,False
1,unknown,0.8877804789448681,0.021714989995204492,False
2,unknown,0.8724541951718173,0.006388706222153706,False
3,unknown,0.8666767860756932,0.0006112971260295863,False
4,unknown,0.8673092491398502,0.0012437601901865714,False
5,unknown,0.8691875451077431,0.003122056158079478,False
6,unknown,0.8685173729250438,0.002451883975380209,False
7,unknown,0.868673155737705,0.002607666788041363,False
8,unknown,0.8705763933036661,0.004510904354002476,False
9,unknown,0.8695268727951857,0.0034613838455220813,False
10,unknown,0.8787711986579643,0.01270570970830065,False
11,unknown,0.8618929786575935,-0.0041725102920701085,False
12,unknown,0.8577679328356168,-0.008297556114046811,False
13,unknown,0.8643493219995952,-0.0017161669500683763,False
14,unknown,0.8599384285905501,-0.006127060359113479,False
15,unknown,0.859334395171431,-0.006731093778232666,False
16,unknown,0.8893162393162394,0.023250750366575756,False
17,unknown,0.8618384839191633,-0.00422700503050033,False
18,unknown,0.8631595677050223,-0.002905921244641285,False
19,unknown,0.8806060129485466,0.014540523998882948,False
20,unknown,0.8626037239425217,-0.0034617650071419037,False
21,unknown,0.8626037239425218,-0.0034617650071417927,False
22,unknown,0.8626037239425218,-0.0034617650071417927,False
23,unknown,0.8626037239425218,-0.0034617650071417927,False
24,unknown,0.8626037239425218,-0.0034617650071417927,False
25,unknown,0.8626037239425218,-0.0034617650071417927,False
26,unknown,0.8626037239425218,-0.0034617650071417927,False
27,unknown,0.8626037239425218,-0.0034617650071417927,False
28,unknown,0.8665454820874043,0.0004799931377407196,False
29,unknown,0.8626037239425218,-0.0034617650071417927,False
30,unknown,0.8617503309235311,-0.004315158026132471,False
31,unknown,0.8626037239425218,-0.0034617650071417927,False
32,unknown,0.8626037239425218,-0.0034617650071417927,False
33,unknown,0.8626037239425218,-0.0034617650071417927,False
34,unknown,0.8626037239425218,-0.0034617650071417927,False
35,unknown,0.8626037239425218,-0.0034617650071417927,False
36,unknown,0.8626037239425218,-0.0034617650071417927,False
