target,fold_id,feature,coefficient,absolute_coefficient
detection,0,bwd_iat_std_mean,1.7714923727283478,1.7714923727283478
detection,0,window_size_bwd_std,1.7462705318639231,1.7462705318639231
detection,0,bwd_seg_size_avg_max,1.70024953665406,1.70024953665406
detection,0,bwd_pkt_len_mean_max,1.7002495366539456,1.7002495366539456
detection,0,pkt_len_var_std,-1.697483345555281,1.697483345555281
detection,0,fwd_pkt_len_std_mean,1.685563064339897,1.685563064339897
detection,0,pkt_tcp_retrans_count,1.6223447007558311,1.6223447007558311
detection,0,pkt_len_var_max,-1.6083195841763254,1.6083195841763254
detection,0,byte_count_bwd_std,-1.5423675532576244,1.5423675532576244
detection,0,fwd_pkt_len_max_std,-1.5212566521714306,1.5212566521714306
detection,0,pkt_port_scan_seq_score,1.514041068498985,1.514041068498985
detection,0,pkt_len_var_mean,-1.4013536060558185,1.4013536060558185
detection,0,byte_count_fwd_max,1.3158371832258438,1.3158371832258438
detection,0,flow_iat_std_std,-1.3039938516102108,1.3039938516102108
detection,0,bytes_per_sec_mean,-1.2915402880504434,1.2915402880504434
detection,0,bwd_pkt_len_std_mean,-1.2852420961351374,1.2852420961351374
detection,0,bwd_pkt_len_std_max,1.1841857953762494,1.1841857953762494
detection,0,fwd_seg_size_min_mean,1.16561607247352,1.16561607247352
detection,0,bwd_pkt_len_std_std,1.1577084463949303,1.1577084463949303
detection,0,window_size_fwd_std,-1.106153794863719,1.106153794863719
detection,0,bytes_per_sec_max,1.086450561546681,1.086450561546681
detection,0,pkt_len_std_mean,-1.065101471961147,1.065101471961147
detection,0,bwd_iat_max_std,-1.0512453103367072,1.0512453103367072
detection,0,packet_count_bwd_std,1.032531529718298,1.032531529718298
detection,0,ack_flag_cnt_std,0.9930560255179766,0.9930560255179766
detection,0,pkt_len_min_std,0.9790894906079268,0.9790894906079268
detection,0,bwd_iat_min_max,0.9345789628274784,0.9345789628274784
detection,0,bwd_pkts_per_sec_mean,-0.9053619746990468,0.9053619746990468
detection,0,fwd_pkt_len_std_std,0.8885063883891273,0.8885063883891273
detection,0,pkt_payload_size_p95,-0.8735306718665673,0.8735306718665673
detection,0,packets_per_sec_mean,-0.8613650540123029,0.8613650540123029
detection,0,down_up_ratio_std,-0.8574147492571649,0.8574147492571649
detection,0,byte_count_bwd_max,-0.8515240436169145,0.8515240436169145
detection,0,byte_count_fwd_std,-0.8359991835474193,0.8359991835474193
detection,0,bwd_iat_min_std,-0.7930466484853619,0.7930466484853619
detection,0,bytes_per_sec_sum,-0.7797348431895635,0.7797348431895635
detection,0,pkt_len_max_std,-0.7792178260572373,0.7792178260572373
detection,0,pkt_frag_df_count,0.7758242501657596,0.7758242501657596
detection,0,ece_flag_cnt_std,0.7383663500154574,0.7383663500154574
detection,0,subflow_bwd_pkts_std,-0.7280139709677976,0.7280139709677976
detection,0,pkt_len_max_mean,-0.7248869328733306,0.7248869328733306
detection,0,bwd_iat_tot_mean,-0.7139188977892487,0.7139188977892487
detection,0,rst_flag_cnt_std,0.7129845548845665,0.7129845548845665
detection,0,bwd_pkt_len_min_mean,0.7026061808291282,0.7026061808291282
detection,0,fwd_iat_mean_std,-0.6954874892755525,0.6954874892755525
detection,0,ece_flag_cnt_sum,0.6916674036723003,0.6916674036723003
detection,0,rst_flag_cnt_sum,0.6907550370873831,0.6907550370873831
detection,0,window_size_bwd_sum,-0.690318593123311,0.690318593123311
detection,0,bwd_header_len_max,0.6856469796148063,0.6856469796148063
detection,0,active_max_sum,0.6696088205334869,0.6696088205334869
detection,0,bwd_iat_mean_std,0.6686351207843101,0.6686351207843101
detection,0,pkt_len_mean_max,-0.6647233089067105,0.6647233089067105
detection,0,subflow_bwd_byts_sum,-0.6462767371744396,0.6462767371744396
detection,0,pkt_payload_size_p75,-0.6420113728404345,0.6420113728404345
detection,0,active_mean_sum,-0.6389206430090374,0.6389206430090374
detection,0,active_std_sum,-0.6358178811170899,0.6358178811170899
detection,0,urg_flag_cnt_mean,-0.6345157288985686,0.6345157288985686
detection,0,pkt_len_mean_mean,-0.6209459581696976,0.6209459581696976
detection,0,subflow_bwd_byts_max,0.6141748178852948,0.6141748178852948
detection,0,bwd_iat_mean_sum,-0.6120596729706068,0.6120596729706068
detection,0,packet_count_bwd_mean,0.6113491716676477,0.6113491716676477
detection,0,duration_sec_std,0.6058509160641725,0.6058509160641725
detection,0,pkt_size_avg_mean,-0.5963023698398315,0.5963023698398315
detection,0,bwd_pkts_per_sec_std,0.5949877249575932,0.5949877249575932
detection,0,urg_flag_cnt_std,0.5912694648120387,0.5912694648120387
detection,0,subflow_bwd_byts_std,-0.5863371526102464,0.5863371526102464
detection,0,idle_min_std,-0.5826181685160382,0.5826181685160382
detection,0,flow_iat_max_std,-0.5558740908707495,0.5558740908707495
detection,0,fwd_pkts_per_sec_sum,0.5267155975922926,0.5267155975922926
detection,0,packets_per_sec_sum,-0.5042853040509574,0.5042853040509574
detection,0,fwd_pkts_per_sec_max,-0.4981265505446805,0.4981265505446805
detection,0,bwd_header_len_std,-0.491897780394942,0.491897780394942
detection,0,bwd_iat_mean_max,-0.4844755175640908,0.4844755175640908
detection,0,bwd_pkt_len_min_std,-0.4795882110669048,0.4795882110669048
detection,0,pkt_len_var_sum,0.4669901114805365,0.4669901114805365
detection,0,psh_flag_cnt_max,-0.4628978988569783,0.4628978988569783
