feature_group,masked_mae,attribution
byte_count,60.149864196777344,-0.000209808349609375
duration,60.14937973022461,-0.00069427490234375
fwd,60.14854431152344,-0.001529693603515625
bwd,60.14033508300781,-0.009738922119140625
packet_count,60.13616943359375,-0.013904571533203125
