fold_id,held_out_episode_id,attack_type,target,train_sequences,validation_sequences,test_sequences,f1,pr_auc,precision,recall,fpr,roc_auc,val_ece_raw,val_ece_cal,test_ece_raw,test_ece_cal,temperature,checkpoint_path
19,21-02-2018_DDOS-LOIC-UDP_0,DDOS-LOIC-UDP,future_attack_label,2135,541,12,0.2857142857142857,0.5146464646464646,1.0,0.16666666666666666,0.0,0.25,0.1570666765177867,0.12841503153419098,0.41619745145241416,0.3821486433347066,2.661512794929155,D:\sih2026\ml1\artifacts\lstm\lstm_stacked\onset\model_fold_19.pt
20,21-02-2018_DDOS-LOIC-UDP_1,DDOS-LOIC-UDP,future_attack_label,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0,0.1551943372701367,0.12870561401617484,0.0005911102925892919,0.04436284303665161,2.636710402241554,D:\sih2026\ml1\artifacts\lstm\lstm_stacked\onset\model_fold_20.pt
21,21-02-2018_DDOS-LOIC-UDP_10,DDOS-LOIC-UDP,future_attack_label,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0,0.1535839007658767,0.12612945175423831,0.0005133862820609163,0.03891527031858762,2.560741639828678,D:\sih2026\ml1\artifacts\lstm\lstm_stacked\onset\model_fold_21.pt
22,21-02-2018_DDOS-LOIC-UDP_11,DDOS-LOIC-UDP,future_attack_label,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0,0.15580261196267559,0.13049467035820123,0.0005708411723996203,0.04374969440201919,2.6312822451061764,D:\sih2026\ml1\artifacts\lstm\lstm_stacked\onset\model_fold_22.pt
23,21-02-2018_DDOS-LOIC-UDP_12,DDOS-LOIC-UDP,future_attack_label,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0,0.1511932195772544,0.11891385772681325,0.0005850209466492137,0.04132864065468311,2.569163859087101,D:\sih2026\ml1\artifacts\lstm\lstm_stacked\onset\model_fold_23.pt
24,21-02-2018_DDOS-LOIC-UDP_13,DDOS-LOIC-UDP,future_attack_label,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0,0.15579271641975728,0.13011571624732104,0.0006100465543568134,0.042712672924002014,2.5881607276348744,D:\sih2026\ml1\artifacts\lstm\lstm_stacked\onset\model_fold_24.pt
25,21-02-2018_DDOS-LOIC-UDP_14,DDOS-LOIC-UDP,future_attack_label,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0,0.15718091743211243,0.12621011069504978,0.0005677409353666008,0.04363809091349443,2.6360544938047097,D:\sih2026\ml1\artifacts\lstm\lstm_stacked\onset\model_fold_25.pt
26,21-02-2018_DDOS-LOIC-UDP_15,DDOS-LOIC-UDP,future_attack_label,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0,0.1549678772234279,0.12317478413456481,0.0006334294933670511,0.043783181657393776,2.5983865512296527,D:\sih2026\ml1\artifacts\lstm\lstm_stacked\onset\model_fold_26.pt
27,21-02-2018_DDOS-LOIC-UDP_16,DDOS-LOIC-UDP,future_attack_label,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0,0.15491133858879336,0.12852029274200602,0.0005669721091787021,0.042722209667166076,2.6135520637128593,D:\sih2026\ml1\artifacts\lstm\lstm_stacked\onset\model_fold_27.pt
28,21-02-2018_DDOS-LOIC-UDP_17,DDOS-LOIC-UDP,future_attack_label,2135,542,6,0.0,,0.0,0.0,0.16666666666666666,,0.15739235402225787,0.12806403458915733,0.1671916470416666,0.2118198766062657,2.697629862950155,D:\sih2026\ml1\artifacts\lstm\lstm_stacked\onset\model_fold_28.pt
29,21-02-2018_DDOS-LOIC-UDP_2,DDOS-LOIC-UDP,future_attack_label,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0,0.15440509699257537,0.12430836246572298,0.0006225713877938688,0.04275385600825151,2.5836194696192307,D:\sih2026\ml1\artifacts\lstm\lstm_stacked\onset\model_fold_29.pt
30,21-02-2018_DDOS-LOIC-UDP_3,DDOS-LOIC-UDP,future_attack_label,2135,542,7,1.0,1.0,1.0,1.0,0.0,1.0,0.15704317198468312,0.12829610893014834,0.0004980663652531803,0.03905503345387323,2.6713296546724887,D:\sih2026\ml1\artifacts\lstm\lstm_stacked\onset\model_fold_30.pt
31,21-02-2018_DDOS-LOIC-UDP_4,DDOS-LOIC-UDP,future_attack_label,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0,0.15444824976908433,0.12395526335413165,0.0005897977098356932,0.04284801582495372,2.6029242128384307,D:\sih2026\ml1\artifacts\lstm\lstm_stacked\onset\model_fold_31.pt
32,21-02-2018_DDOS-LOIC-UDP_5,DDOS-LOIC-UDP,future_attack_label,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0,0.1571048094763857,0.1288508322172389,0.0005912572184267144,0.045415073012312256,2.6612066890583073,D:\sih2026\ml1\artifacts\lstm\lstm_stacked\onset\model_fold_32.pt
33,21-02-2018_DDOS-LOIC-UDP_6,DDOS-LOIC-UDP,future_attack_label,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0,0.1563794615290152,0.12393220533991432,0.0006097866571508348,0.04577131010591984,2.659848434772657,D:\sih2026\ml1\artifacts\lstm\lstm_stacked\onset\model_fold_33.pt
34,21-02-2018_DDOS-LOIC-UDP_7,DDOS-LOIC-UDP,future_attack_label,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0,0.155577865006519,0.12429913017225222,0.000589447687768067,0.04526174937685331,2.6585042524561278,D:\sih2026\ml1\artifacts\lstm\lstm_stacked\onset\model_fold_34.pt
35,21-02-2018_DDOS-LOIC-UDP_8,DDOS-LOIC-UDP,future_attack_label,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0,0.16057302897308035,0.132456530201699,0.0005837432399857789,0.04828579102953275,2.7292715313777265,D:\sih2026\ml1\artifacts\lstm\lstm_stacked\onset\model_fold_35.pt
36,21-02-2018_DDOS-LOIC-UDP_9,DDOS-LOIC-UDP,future_attack_label,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0,0.15247990392368438,0.12492416374302878,0.0005767468246631324,0.041690055901805564,2.5844839157081645,D:\sih2026\ml1\artifacts\lstm\lstm_stacked\onset\model_fold_36.pt
