fold_id,held_out_episode_id,attack_type,target,train_sequences,validation_sequences,test_sequences,f1,pr_auc,precision,recall,fpr,roc_auc,val_ece_raw,val_ece_cal,test_ece_raw,test_ece_cal,temperature,checkpoint_path
20,21-02-2018_DDOS-LOIC-UDP_1,DDOS-LOIC-UDP,label_binary,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0,0.13367627989638226,0.11395638386591775,9.258055433392087e-10,0.0001374295849624711,2.4451680889370877,D:\sih2026\ml1\artifacts\lstm\lstm_stacked\detection\model_fold_20.pt
21,21-02-2018_DDOS-LOIC-UDP_10,DDOS-LOIC-UDP,label_binary,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0,0.13246809512143096,0.1135645257755839,7.414458861691269e-10,0.0001168428328431522,2.4240182027606947,D:\sih2026\ml1\artifacts\lstm\lstm_stacked\detection\model_fold_21.pt
22,21-02-2018_DDOS-LOIC-UDP_11,DDOS-LOIC-UDP,label_binary,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0,0.1348648046098677,0.12013703389471307,8.465015725415508e-10,0.00015397602207182598,2.489751028441562,D:\sih2026\ml1\artifacts\lstm\lstm_stacked\detection\model_fold_22.pt
23,21-02-2018_DDOS-LOIC-UDP_12,DDOS-LOIC-UDP,label_binary,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0,0.13514780391323833,0.10371136898346713,8.639845320660793e-10,0.0001387741940561682,2.4562442477237667,D:\sih2026\ml1\artifacts\lstm\lstm_stacked\detection\model_fold_23.pt
24,21-02-2018_DDOS-LOIC-UDP_13,DDOS-LOIC-UDP,label_binary,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0,0.1334872750902198,0.11459609925252047,8.907583929721834e-10,0.00012850934581365436,2.4300129507724124,D:\sih2026\ml1\artifacts\lstm\lstm_stacked\detection\model_fold_24.pt
25,21-02-2018_DDOS-LOIC-UDP_14,DDOS-LOIC-UDP,label_binary,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0,0.1321742185202472,0.11501838578894132,8.106224950547396e-10,0.00012205804523546249,2.42562884138077,D:\sih2026\ml1\artifacts\lstm\lstm_stacked\detection\model_fold_25.pt
26,21-02-2018_DDOS-LOIC-UDP_15,DDOS-LOIC-UDP,label_binary,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0,0.1327047749419054,0.11178908297771457,9.455571510959735e-10,0.00014659658821377283,2.462012491712191,D:\sih2026\ml1\artifacts\lstm\lstm_stacked\detection\model_fold_26.pt
27,21-02-2018_DDOS-LOIC-UDP_16,DDOS-LOIC-UDP,label_binary,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0,0.13370152754619774,0.11463134735822678,9.032623723056096e-10,0.00015185314017192772,2.4775538562305432,D:\sih2026\ml1\artifacts\lstm\lstm_stacked\detection\model_fold_27.pt
28,21-02-2018_DDOS-LOIC-UDP_17,DDOS-LOIC-UDP,label_binary,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0,0.13684288005093698,0.11447682477726268,8.683193978657282e-10,0.0001885565385843317,2.5490940757858276,D:\sih2026\ml1\artifacts\lstm\lstm_stacked\detection\model_fold_28.pt
29,21-02-2018_DDOS-LOIC-UDP_2,DDOS-LOIC-UDP,label_binary,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0,0.13457694093652098,0.11637563640561052,8.882526196056044e-10,0.00014448909496422857,2.465099225496589,D:\sih2026\ml1\artifacts\lstm\lstm_stacked\detection\model_fold_29.pt
30,21-02-2018_DDOS-LOIC-UDP_3,DDOS-LOIC-UDP,label_binary,2135,542,7,1.0,1.0,1.0,1.0,0.0,1.0,0.14042949892333073,0.12129546352748062,7.849553546839567e-10,0.00015387574551693563,2.5274467381176087,D:\sih2026\ml1\artifacts\lstm\lstm_stacked\detection\model_fold_30.pt
31,21-02-2018_DDOS-LOIC-UDP_4,DDOS-LOIC-UDP,label_binary,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0,0.1307600493683751,0.11167571140363869,8.497959743299551e-10,0.0001353625945436458,2.450810461285697,D:\sih2026\ml1\artifacts\lstm\lstm_stacked\detection\model_fold_31.pt
32,21-02-2018_DDOS-LOIC-UDP_5,DDOS-LOIC-UDP,label_binary,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0,0.14043431450712507,0.11369195093857846,9.41485963264673e-10,0.00017860717586396885,2.5226875264133715,D:\sih2026\ml1\artifacts\lstm\lstm_stacked\detection\model_fold_32.pt
33,21-02-2018_DDOS-LOIC-UDP_6,DDOS-LOIC-UDP,label_binary,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0,0.13389483110711142,0.11346736173678149,9.128050167580189e-10,0.00015804815726975602,2.4886747930799147,D:\sih2026\ml1\artifacts\lstm\lstm_stacked\detection\model_fold_33.pt
34,21-02-2018_DDOS-LOIC-UDP_7,DDOS-LOIC-UDP,label_binary,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0,0.13447141820544245,0.10919524424767801,9.105022291677756e-10,0.00017261972971027717,2.5156676405648626,D:\sih2026\ml1\artifacts\lstm\lstm_stacked\detection\model_fold_34.pt
35,21-02-2018_DDOS-LOIC-UDP_8,DDOS-LOIC-UDP,label_binary,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0,0.14568949662616332,0.11961173649011281,9.076799497205931e-10,0.00023080608419453105,2.6092108716079525,D:\sih2026\ml1\artifacts\lstm\lstm_stacked\detection\model_fold_35.pt
36,21-02-2018_DDOS-LOIC-UDP_9,DDOS-LOIC-UDP,label_binary,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0,0.13096734565232512,0.1100418505660942,8.634823411846071e-10,0.00012857516897687068,2.434078615023607,D:\sih2026\ml1\artifacts\lstm\lstm_stacked\detection\model_fold_36.pt
