fold_id,held_out_episode_id,attack_type,target,target_col,n_train,n_test,test_attack_windows,test_benign_windows,accuracy,precision,recall,f1,fpr,roc_auc,pr_auc,tp,fp,tn,fn
0,02-03-2018_Botnet_0,Botnet,onset,future_attack_label,2582,20,10,10,1.0,1.0,1.0,1.0,0.0,1.0,0.9999999999999999,10,0,10,0
1,02-03-2018_Botnet_1,Botnet,onset,future_attack_label,2587,24,12,12,1.0,1.0,1.0,1.0,0.0,1.0,1.0,12,0,12,0
2,02-03-2018_Botnet_2,Botnet,onset,future_attack_label,2568,12,6,6,0.5833333333333334,1.0,0.16666666666666666,0.2857142857142857,0.0,0.8055555555555555,0.8766233766233766,1,0,6,5
3,02-03-2018_Botnet_3,Botnet,onset,future_attack_label,2567,6,1,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
4,02-03-2018_Botnet_4,Botnet,onset,future_attack_label,2563,6,1,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
5,02-03-2018_Botnet_5,Botnet,onset,future_attack_label,2545,9,4,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4,0,5,0
6,02-03-2018_Botnet_6,Botnet,onset,future_attack_label,2540,9,4,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4,0,5,0
7,02-03-2018_Botnet_7,Botnet,onset,future_attack_label,2536,8,3,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3,0,5,0
8,02-03-2018_Botnet_8,Botnet,onset,future_attack_label,2528,14,7,7,1.0,1.0,1.0,1.0,0.0,1.0,0.9999999999999998,7,0,7,0
9,02-03-2018_Botnet_9,Botnet,onset,future_attack_label,2532,10,5,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,5,0,5,0
10,14-02-2018_SSH-Bruteforce_0,SSH-Bruteforce,onset,future_attack_label,2599,12,6,6,0.5833333333333334,1.0,0.16666666666666666,0.2857142857142857,0.0,0.4722222222222222,0.6547619047619048,1,0,6,5
11,14-02-2018_SSH-Bruteforce_1,SSH-Bruteforce,onset,future_attack_label,2595,9,4,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4,0,5,0
12,14-02-2018_SSH-Bruteforce_2,SSH-Bruteforce,onset,future_attack_label,2579,20,10,10,1.0,1.0,1.0,1.0,0.0,1.0,0.9999999999999999,10,0,10,0
13,14-02-2018_SSH-Bruteforce_3,SSH-Bruteforce,onset,future_attack_label,2582,6,1,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
14,14-02-2018_SSH-Bruteforce_4,SSH-Bruteforce,onset,future_attack_label,2570,16,8,8,1.0,1.0,1.0,1.0,0.0,1.0,1.0,8,0,8,0
15,14-02-2018_SSH-Bruteforce_5,SSH-Bruteforce,onset,future_attack_label,2553,24,12,12,1.0,1.0,1.0,1.0,0.0,1.0,1.0,12,0,12,0
16,14-02-2018_SSH-Bruteforce_6,SSH-Bruteforce,onset,future_attack_label,2482,66,33,33,0.5,0.0,0.0,0.0,0.0,0.842056932966024,0.8196661156772568,0,0,33,33
17,14-02-2018_SSH-Bruteforce_7,SSH-Bruteforce,onset,future_attack_label,2591,12,6,6,1.0,1.0,1.0,1.0,0.0,1.0,1.0,6,0,6,0
18,14-02-2018_SSH-Bruteforce_8,SSH-Bruteforce,onset,future_attack_label,2597,14,7,7,1.0,1.0,1.0,1.0,0.0,1.0,0.9999999999999998,7,0,7,0
19,21-02-2018_DDOS-LOIC-UDP_0,DDOS-LOIC-UDP,onset,future_attack_label,2600,12,6,6,0.5833333333333334,1.0,0.16666666666666666,0.2857142857142857,0.0,0.25,0.5146464646464646,1,0,6,5
20,21-02-2018_DDOS-LOIC-UDP_1,DDOS-LOIC-UDP,onset,future_attack_label,2601,6,1,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
21,21-02-2018_DDOS-LOIC-UDP_10,DDOS-LOIC-UDP,onset,future_attack_label,2601,6,1,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
22,21-02-2018_DDOS-LOIC-UDP_11,DDOS-LOIC-UDP,onset,future_attack_label,2601,6,1,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
23,21-02-2018_DDOS-LOIC-UDP_12,DDOS-LOIC-UDP,onset,future_attack_label,2601,6,1,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
24,21-02-2018_DDOS-LOIC-UDP_13,DDOS-LOIC-UDP,onset,future_attack_label,2601,6,1,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
25,21-02-2018_DDOS-LOIC-UDP_14,DDOS-LOIC-UDP,onset,future_attack_label,2601,6,1,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
