fold_id,held_out_episode_id,attack_type,target,n_train,n_test,test_attack_windows,test_benign_windows,accuracy,precision,recall,f1,fpr,roc_auc,pr_auc,tp,fp,tn,fn
0,02-03-2018_Botnet_0,Botnet,detection,2687,20,10,10,1.0,1.0,1.0,1.0,0.0,1.0,0.9999999999999999,10,0,10,0
1,02-03-2018_Botnet_1,Botnet,detection,2692,24,12,12,1.0,1.0,1.0,1.0,0.0,1.0,1.0,12,0,12,0
2,02-03-2018_Botnet_2,Botnet,detection,2673,12,1,11,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0,11,0
3,02-03-2018_Botnet_3,Botnet,detection,2672,6,1,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
4,02-03-2018_Botnet_4,Botnet,detection,2668,6,1,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
5,02-03-2018_Botnet_5,Botnet,detection,2650,9,4,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4,0,5,0
6,02-03-2018_Botnet_6,Botnet,detection,2645,9,4,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4,0,5,0
7,02-03-2018_Botnet_7,Botnet,detection,2641,8,3,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3,0,5,0
8,02-03-2018_Botnet_8,Botnet,detection,2633,14,7,7,1.0,1.0,1.0,1.0,0.0,1.0,0.9999999999999998,7,0,7,0
9,02-03-2018_Botnet_9,Botnet,detection,2637,10,5,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,5,0,5,0
10,14-02-2018_SSH-Bruteforce_0,SSH-Bruteforce,detection,2704,12,1,11,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0,11,0
11,14-02-2018_SSH-Bruteforce_1,SSH-Bruteforce,detection,2700,9,4,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4,0,5,0
12,14-02-2018_SSH-Bruteforce_2,SSH-Bruteforce,detection,2684,20,10,10,1.0,1.0,1.0,1.0,0.0,1.0,0.9999999999999999,10,0,10,0
13,14-02-2018_SSH-Bruteforce_3,SSH-Bruteforce,detection,2687,6,1,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
14,14-02-2018_SSH-Bruteforce_4,SSH-Bruteforce,detection,2675,16,8,8,1.0,1.0,1.0,1.0,0.0,1.0,1.0,8,0,8,0
15,14-02-2018_SSH-Bruteforce_5,SSH-Bruteforce,detection,2658,24,12,12,1.0,1.0,1.0,1.0,0.0,1.0,1.0,12,0,12,0
16,14-02-2018_SSH-Bruteforce_6,SSH-Bruteforce,detection,2587,66,33,33,0.5,0.0,0.0,0.0,0.0,0.9164370982552801,0.8939655100762232,0,0,33,33
17,14-02-2018_SSH-Bruteforce_7,SSH-Bruteforce,detection,2696,12,6,6,1.0,1.0,1.0,1.0,0.0,1.0,1.0,6,0,6,0
18,14-02-2018_SSH-Bruteforce_8,SSH-Bruteforce,detection,2702,14,7,7,1.0,1.0,1.0,1.0,0.0,1.0,0.9999999999999998,7,0,7,0
19,21-02-2018_DDOS-LOIC-UDP_0,DDOS-LOIC-UDP,detection,2705,12,1,11,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0,11,0
20,21-02-2018_DDOS-LOIC-UDP_1,DDOS-LOIC-UDP,detection,2706,6,1,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
21,21-02-2018_DDOS-LOIC-UDP_10,DDOS-LOIC-UDP,detection,2706,6,1,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
22,21-02-2018_DDOS-LOIC-UDP_11,DDOS-LOIC-UDP,detection,2706,6,1,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
23,21-02-2018_DDOS-LOIC-UDP_12,DDOS-LOIC-UDP,detection,2706,6,1,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
24,21-02-2018_DDOS-LOIC-UDP_13,DDOS-LOIC-UDP,detection,2706,6,1,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
25,21-02-2018_DDOS-LOIC-UDP_14,DDOS-LOIC-UDP,detection,2706,6,1,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
26,21-02-2018_DDOS-LOIC-UDP_15,DDOS-LOIC-UDP,detection,2706,6,1,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
27,21-02-2018_DDOS-LOIC-UDP_16,DDOS-LOIC-UDP,detection,2706,6,1,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
28,21-02-2018_DDOS-LOIC-UDP_17,DDOS-LOIC-UDP,detection,2706,6,1,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
29,21-02-2018_DDOS-LOIC-UDP_2,DDOS-LOIC-UDP,detection,2706,6,1,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
30,21-02-2018_DDOS-LOIC-UDP_3,DDOS-LOIC-UDP,detection,2706,7,2,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2,0,5,0
31,21-02-2018_DDOS-LOIC-UDP_4,DDOS-LOIC-UDP,detection,2706,6,1,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
32,21-02-2018_DDOS-LOIC-UDP_5,DDOS-LOIC-UDP,detection,2706,6,1,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
33,21-02-2018_DDOS-LOIC-UDP_6,DDOS-LOIC-UDP,detection,2706,6,1,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
34,21-02-2018_DDOS-LOIC-UDP_7,DDOS-LOIC-UDP,detection,2706,6,1,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
35,21-02-2018_DDOS-LOIC-UDP_8,DDOS-LOIC-UDP,detection,2706,6,1,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
36,21-02-2018_DDOS-LOIC-UDP_9,DDOS-LOIC-UDP,detection,2706,6,1,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
