fold_id,held_out_episode_id,attack_type,target,target_col,n_train,n_test,test_attack_windows,test_benign_windows,accuracy,precision,recall,f1,fpr,roc_auc,pr_auc,tp,fp,tn,fn
0,02-03-2018_Botnet_0,Botnet,detection,label_binary,2582,20,10,10,1.0,1.0,1.0,1.0,0.0,1.0,0.9999999999999999,10,0,10,0
1,02-03-2018_Botnet_1,Botnet,detection,label_binary,2587,24,12,12,1.0,1.0,1.0,1.0,0.0,1.0,1.0,12,0,12,0
2,02-03-2018_Botnet_2,Botnet,detection,label_binary,2568,12,1,11,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0,11,0
3,02-03-2018_Botnet_3,Botnet,detection,label_binary,2567,6,1,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
4,02-03-2018_Botnet_4,Botnet,detection,label_binary,2563,6,1,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
5,02-03-2018_Botnet_5,Botnet,detection,label_binary,2545,9,4,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4,0,5,0
6,02-03-2018_Botnet_6,Botnet,detection,label_binary,2540,9,4,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4,0,5,0
7,02-03-2018_Botnet_7,Botnet,detection,label_binary,2536,8,3,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3,0,5,0
8,02-03-2018_Botnet_8,Botnet,detection,label_binary,2528,14,7,7,1.0,1.0,1.0,1.0,0.0,1.0,0.9999999999999998,7,0,7,0
9,02-03-2018_Botnet_9,Botnet,detection,label_binary,2532,10,5,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,5,0,5,0
10,14-02-2018_SSH-Bruteforce_0,SSH-Bruteforce,detection,label_binary,2599,12,1,11,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0,11,0
11,14-02-2018_SSH-Bruteforce_1,SSH-Bruteforce,detection,label_binary,2595,9,4,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4,0,5,0
12,14-02-2018_SSH-Bruteforce_2,SSH-Bruteforce,detection,label_binary,2579,20,10,10,1.0,1.0,1.0,1.0,0.0,1.0,0.9999999999999999,10,0,10,0
13,14-02-2018_SSH-Bruteforce_3,SSH-Bruteforce,detection,label_binary,2582,6,1,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
14,14-02-2018_SSH-Bruteforce_4,SSH-Bruteforce,detection,label_binary,2570,16,8,8,1.0,1.0,1.0,1.0,0.0,1.0,1.0,8,0,8,0
15,14-02-2018_SSH-Bruteforce_5,SSH-Bruteforce,detection,label_binary,2553,24,12,12,1.0,1.0,1.0,1.0,0.0,1.0,1.0,12,0,12,0
16,14-02-2018_SSH-Bruteforce_6,SSH-Bruteforce,detection,label_binary,2482,66,33,33,0.5,0.0,0.0,0.0,0.0,0.938475665748393,0.9305917992183221,0,0,33,33
17,14-02-2018_SSH-Bruteforce_7,SSH-Bruteforce,detection,label_binary,2591,12,6,6,1.0,1.0,1.0,1.0,0.0,1.0,1.0,6,0,6,0
18,14-02-2018_SSH-Bruteforce_8,SSH-Bruteforce,detection,label_binary,2597,14,7,7,1.0,1.0,1.0,1.0,0.0,1.0,0.9999999999999998,7,0,7,0
19,21-02-2018_DDOS-LOIC-UDP_0,DDOS-LOIC-UDP,detection,label_binary,2600,12,1,11,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0,11,0
