horizon,fold_id,f1,precision,recall,fpr,roc_auc,pr_auc,tp,fp,tn,fn
1,0,0.0,0.0,0.0,0.0,0.6799999999999999,0.7615674603174603,0,0,10,10
1,1,0.0,0.0,0.0,0.0,0.1597222222222222,0.3594366969796031,0,0,12,12
1,2,0.0,0.0,0.0,0.0,0.75,0.3666666666666667,0,0,10,2
1,3,0.0,0.0,0.0,0.0,0.7,0.25,0,0,5,1
1,4,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0,0,5,1
1,5,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,4
1,6,0.0,0.0,0.0,0.0,0.0,0.3179563492063492,0,0,5,4
1,7,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,3
1,8,0.0,0.0,0.0,0.0,0.0,0.3627594627594628,0,0,7,7
1,9,0.0,0.0,0.0,0.0,0.0,0.3543650793650793,0,0,5,5
1,10,0.6666666666666666,1.0,0.5,0.0,0.55,0.5909090909090909,1,0,10,1
1,11,1.0,1.0,1.0,0.0,1.0,1.0,4,0,5,0
1,12,1.0,1.0,1.0,0.0,1.0,0.9999999999999999,10,0,10,0
1,13,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
1,14,1.0,1.0,1.0,0.0,1.0,1.0,8,0,8,0
1,15,1.0,1.0,1.0,0.0,1.0,1.0,12,0,12,0
1,16,0.0,0.0,0.0,0.0,0.02662993572084481,0.31616590147650403,0,0,33,33
1,17,1.0,1.0,1.0,0.0,1.0,1.0,6,0,6,0
1,18,1.0,1.0,1.0,0.0,1.0,1.0,7,0,7,0
1,19,0.0,0.0,0.0,0.0,0.55,0.35,0,0,10,2
1,20,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
1,21,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
1,22,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
1,23,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
1,24,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
1,25,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
1,26,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
1,27,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
1,28,0.0,0.0,0.0,0.0,,,0,0,6,0
1,29,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
1,30,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,2
1,31,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
1,32,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
1,33,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
1,34,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
1,35,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
1,36,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
