fold_id,input_feature_count,pca_component_count,explained_variance_ratio,explained_variance_ratio_sum,cumulative_explained_variance,component_mean,component_std
10,406,32,"[0.9868534133411556, 0.0122924236671627, 0.0003927278189627314, 0.0003009960034512686, 6.695248242620271e-05, 5.49306961381212e-05, 7.668842521481665e-06, 5.691853738955588e-06, 4.9762704033001245e-06, 4.694758259915264e-06, 3.987285414687681e-06, 3.514187290243827e-06, 2.7031051998313174e-06, 1.4951837640176211e-06, 1.0939359153281399e-06, 3.785480455074009e-07, 3.5629235363453216e-07, 2.9188419352375727e-07, 2.802828071203112e-07, 2.1270215481976166e-07, 1.8020793023071675e-07, 1.081545198858039e-07, 1.0235267397381003e-07, 8.505447076554786e-08, 7.67555346695161e-08, 5.4924703317594314e-08, 5.059904723233177e-08, 4.509731050002494e-08, 3.6856178586122136e-08, 3.239790716742615e-08, 3.126420239014878e-08, 2.8336857308694175e-08]",0.999999621142695,0.999999621142695,"[-362.9789977638947, -11.066659622891006, -2.5589639950999334, -1.9570103847763556, -0.17652842611963357, 2.767916662654929, 1.0407991137054853, 0.38942827043413386, 0.3829151231982408, 0.5805839953426931, -0.7591786032412938, -0.11600732204513411, -1.8196538848045762, -0.22790424843063462, -0.22343806993181622, -0.21469186325207773, 0.25331202582638546, -0.058249836869204985, -0.04667921072425227, 0.041404193625652605, 0.0387186819502953, -0.26673353842921277, 0.016648456841306402, -0.1112168176913358, 0.2124875401092733, -0.015251265991531352, -0.1539696384271921, 0.17884699060768702, -0.024225057561444965, -0.03599239133876403, 0.39048331484779203, -0.03648181718112906]","[14655.233077815472, 1633.5416385630153, 292.0051447764836, 255.6364096843323, 120.54875218772429, 109.96951931381297, 41.366784850561295, 35.493603193491936, 33.607683656930476, 32.068415071659025, 29.760658731532256, 27.79784161971401, 24.53014184838453, 18.043489904517543, 15.424761233633621, 9.234740983439464, 10.422194728147826, 8.08126451927983, 7.862905221183292, 6.893916398676308, 6.286598996567682, 5.022905071976656, 5.067909696381612, 4.360018377942366, 4.263385487016194, 3.579178380720625, 3.484655018096312, 3.336500011364568, 3.269156584595772, 2.7442032485907015, 3.023187410818674, 3.4166793638999495]"
11,406,32,"[0.9868532490813875, 0.012292656318875095, 0.00039273508111655755, 0.0003010015582001647, 6.695372679790382e-05, 5.493091842259498e-05, 7.668175784074073e-06, 5.691965429894875e-06, 4.976395179455264e-06, 4.6944204730223044e-06, 3.984483442259188e-06, 3.512622438121325e-06, 2.6341520158716217e-06, 1.4928851869373616e-06, 1.090237708190756e-06, 3.783180833034684e-07, 3.562520118393681e-07, 2.916702781892373e-07, 2.802008809077879e-07, 2.1268014062897072e-07, 1.80172146894836e-07, 1.0788273131405172e-07, 1.0219181716604583e-07, 8.484705694061117e-08, 7.655195173224376e-08, 5.488679997511842e-08, 5.0597502487238896e-08, 4.508424436356728e-08, 3.683722258232693e-08, 3.238390953915684e-08, 3.1294365018284685e-08, 2.80427541590268e-08]",0.9999996219163547,0.9999996219163547,"[-363.27236680723837, -11.077081881373095, -2.560894701349468, -1.958109908993735, -0.17336096119766678, 2.76841430431266, 1.0423328849074927, 0.3897893677419536, 0.38235037945595646, 0.5888627518531488, -0.7863727587891669, -0.14704465327058375, -1.770710758796222, -0.2147074295010374, -0.21610383052140433, -0.21542028021613432, 0.2564444246042896, -0.06006534214512851, -0.046006116238343324, 0.04245221548915753, 0.03788110199917891, -0.2666895819621612, 0.01194552414696671, -0.11565377766926545, 0.21018134655404458, -0.015446157426264574, -0.1529437086483329, 0.17710231485180664, -0.02470562442839779, -0.03999550205847472, 0.3932485018952725, -0.008447070505661297]","[14666.38534567615, 1634.7986696939502, 292.22978553244815, 255.8330428084941, 120.64145402734094, 110.05324260370635, 41.39671426878894, 35.520889654129476, 33.633578021274346, 32.092448841360984, 29.7771647317686, 27.812070003665, 24.22485032916313, 18.042643728892806, 15.409904481243094, 9.237367792046188, 10.430931019925449, 8.083073821242216, 7.868450939523043, 6.89893340425464, 6.290726554997603, 5.011442838227066, 5.075908709425987, 4.356804487600848, 4.26238050634739, 3.5808402296917743, 3.48682444977052, 3.3388439947034936, 3.271956959803462, 2.7439150241181576, 3.0185712366598496, 3.463183166739776]"
13,406,32,"[0.9868525389582543, 0.012293527680855862, 0.00039276183722862447, 0.0003010222945268426, 6.695840582526946e-05, 5.4931020165258935e-05, 7.666583046724229e-06, 5.692381316282524e-06, 4.976747586274168e-06, 4.6934036529449524e-06, 3.9776791081161715e-06, 3.509563839233332e-06, 2.4569862080690322e-06, 1.4855312752676326e-06, 1.0777433669869016e-06, 3.783097463898373e-07, 3.5609367647918803e-07, 2.9168505682324143e-07, 2.802018681590078e-07, 2.1254447816776704e-07, 1.8016448955972297e-07, 1.0771675171445613e-07, 1.0202412622974625e-07, 8.454191560769804e-08, 7.598767589678869e-08, 5.476821204560343e-08, 5.060156259208594e-08, 4.504159838598908e-08, 3.6634534157346025e-08, 3.235390796861979e-08, 3.1284615922005036e-08, 2.7497781127060582e-08]",0.9999996242682533,0.9999996242682533,"[-365.42316260113336, -11.146963635804719, -2.5763822010047783, -1.969416805636592, -0.16600754638403947, 2.7853933055070783, 1.0582595272565831, 0.3885389640522188, 0.3851718872397679, 0.6139970174096963, -0.8517120968198967, -0.2112404214212588, -1.6509879866360904, -0.1748419097055578, -0.1953383050539591, -0.2178600254308643, 0.26288919965538465, -0.06061599752264156, -0.04770868365717644, 0.04546585965801948, 0.036447464220047986, -0.26720411500225083, 0.00483779731964473, -0.12473014504731651, 0.2026180712529514, -0.014167901207033136, -0.1544238859513195, 0.17628681687459558, -0.024354819839372346, -0.04976878818970847, 0.39573952516738126, 0.04762956003403262]","[14702.803724763353, 1638.9043381816412, 292.9634032177077, 256.475298127261, 120.94422131432732, 110.32679262544836, 41.4970709863487, 35.609897256910656, 33.717792488360075, 32.17043245796341, 29.835740633157602, 27.867498047987432, 23.433225356360524, 18.04091573305044, 15.357973666713995, 9.258926100517382, 10.453435186004445, 8.103454631168209, 7.88758312907388, 6.913908808064955, 6.305957221906699, 5.004048661841886, 5.0962259997518125, 4.359651237759189, 4.256911968777678, 3.585274498470321, 3.496342436340826, 3.3462894454021757, 3.2722773913057477, 2.7464209622301916, 3.0128888165645016, 3.5426362774503657]"
14,406,32,"[0.9868519252742175, 0.012294248464825313, 0.0003927839410059619, 0.0003010393794035305, 6.696234930671887e-05, 5.493093987293143e-05, 7.665440193763358e-06, 5.692727898556962e-06, 4.977024414610259e-06, 4.692910734716276e-06, 3.973997182070349e-06, 3.508129986034892e-06, 2.335250284234802e-06, 1.4788302988455135e-06, 1.0666744890434462e-06, 3.7830458723218397e-07, 3.5603209676754994e-07, 2.916847247831134e-07, 2.802065021759575e-07, 2.124976855602033e-07, 1.801547977339253e-07, 1.0760404178203019e-07, 1.0180434989778742e-07, 8.427422530863951e-08, 7.543499827531208e-08, 5.4577954546752084e-08, 5.05618461375167e-08, 4.496209935148697e-08, 3.652742084908903e-08, 3.232775809166618e-08, 3.117546145350851e-08, 2.7160863490481416e-08]",0.9999996266255273,0.9999996266255273,"[-366.32301789826863, -11.176160261521169, -2.5831970269576625, -1.9729124633370494, -0.1593145419495031, 2.7939614853335932, 1.068564954034441, 0.38675769625636025, 0.38758017171114284, 0.6345097260042339, -0.8874908356241732, -0.24170424349814065, -1.569236407755831, -0.13906700081093562, -0.1769748715437598, -0.2213194365530487, 0.27101942189971395, -0.06218009756513483, -0.04871093214843823, 0.046510652463090524, 0.03406956558027591, -0.2662651763640168, 0.0032857605419876704, -0.1303287815460421, 0.19214274140430063, -0.013461139599118068, -0.15764862459529166, 0.17878039226742215, -0.03154266812668099, -0.06329767825921834, 0.392503232588546, 0.08870298970693369]","[14736.661136734665, 1642.7218047048236, 293.6455100047682, 257.0724118677542, 121.225845999278, 110.5809510681237, 41.5907144860094, 35.69268388630542, 33.796094765435036, 32.24333400778602, 29.89612447555671, 27.925214763246498, 22.884800495699597, 18.040264724123933, 15.313027942033255, 9.278620097355018, 10.47554278381333, 8.121888519483077, 7.905447569904194, 6.9285700953635985, 6.31983972272999, 5.001130987273035, 5.107962544284033, 4.361388621773969, 4.249511358149235, 3.584320068838022, 3.5042309549946653, 3.3536052823362112, 3.2781341314689145, 2.751842907501813, 3.002406086964371, 3.586269607692997]"
