fold_id,min,max,mean,std,nan_count,inf_count,near_zero_variance_components
10,-17009.72052333156,255891.07555494137,-11.767321543423659,2608.624819504601,0,0,0
11,-17009.699882181496,255888.28758655954,-11.775660054203652,2610.610175691893,0,0,0
13,-17009.624204957167,255877.95055180878,-11.841362902368774,2617.098589157655,0,0,0
14,-17009.561518774884,255869.40631482546,-11.867045040507247,2623.1261706898945,0,0,0
