model,next_state_error,rollout_K1_mean_mse,rollout_K1_cumulative_mse,rollout_K2_mean_mse,rollout_K2_cumulative_mse,rollout_K3_mean_mse,rollout_K3_cumulative_mse
fused,2509479.8697161837,2509479.8697161837,2509479.8697161837,2511402.910335956,5022805.820671912,2512274.1502831713,7536822.450849514
temporal_only,2512652.3342391304,2512652.3342391304,2512652.3342391304,2513248.1358580505,5026496.271716101,2513491.8513602344,7540475.554080703
