fold_id,feature,coefficient,abs_coefficient
0,duration_microsec_mean,0.0957279391629541,0.0957279391629541
0,duration_microsec_std,0.20846612126781716,0.20846612126781716
0,duration_microsec_sum,-0.06494351220351542,0.06494351220351542
0,duration_microsec_min,0.09181968236465421,0.09181968236465421
0,duration_microsec_max,0.2913142773037382,0.2913142773037382
0,packet_count_fwd_mean,0.5650768600926109,0.5650768600926109
0,packet_count_fwd_std,-0.26866544072524345,0.26866544072524345
0,packet_count_fwd_sum,0.2351523815828802,0.2351523815828802
0,packet_count_fwd_min,0.13900732925050632,0.13900732925050632
0,packet_count_fwd_max,-0.035226198936787835,0.035226198936787835
0,packet_count_bwd_mean,0.576630139162506,0.576630139162506
0,packet_count_bwd_std,1.095360234669214,1.095360234669214
0,packet_count_bwd_sum,0.03928283959526396,0.03928283959526396
0,packet_count_bwd_min,-0.15832593550293822,0.15832593550293822
0,packet_count_bwd_max,0.2474440197594744,0.2474440197594744
0,byte_count_fwd_mean,-0.06347521569993235,0.06347521569993235
0,byte_count_fwd_std,-0.7388036214826216,0.7388036214826216
0,byte_count_fwd_sum,-0.19578332441635932,0.19578332441635932
0,byte_count_fwd_min,0.1959151562727348,0.1959151562727348
0,byte_count_fwd_max,1.3133594098681687,1.3133594098681687
0,byte_count_bwd_mean,-0.5591229224521224,0.5591229224521224
0,byte_count_bwd_std,-1.5678743690810355,1.5678743690810355
0,byte_count_bwd_sum,-0.44745006416713534,0.44745006416713534
0,byte_count_bwd_min,0.05021563589892017,0.05021563589892017
0,byte_count_bwd_max,-0.6578267829164666,0.6578267829164666
0,fwd_pkt_len_max_mean,0.21420480076115322,0.21420480076115322
0,fwd_pkt_len_max_std,-1.67648194080617,1.67648194080617
0,fwd_pkt_len_max_sum,0.3889703551960453,0.3889703551960453
0,fwd_pkt_len_max_min,-0.05768719557971752,0.05768719557971752
0,fwd_pkt_len_max_max,0.49822623654730314,0.49822623654730314
0,fwd_pkt_len_min_mean,-0.19206816929792092,0.19206816929792092
