feature,between_episode_variance,within_episode_variance
duration_microsec_mean,49.817156501824684,0.940789569917824
duration_microsec_std,1.2630337898419102,0.6159414412314856
duration_microsec_sum,0.5256352505646094,0.2877440838692469
duration_microsec_min,7.991898842150588,0.27885530030583017
duration_microsec_max,633.6614206009315,379.2520520016854
packet_count_fwd_mean,291.54496471958265,1.1485750943260187
packet_count_fwd_std,10.431260748909022,0.5288885067123696
packet_count_fwd_sum,7.224623976443921,0.38101480771501883
packet_count_fwd_min,5.402685888900662,0.31711223876244793
packet_count_fwd_max,1.664815767814688,0.31911438504522194
packet_count_bwd_mean,3.5807610316760536,0.43139283127129074
packet_count_bwd_std,0.7770943807246885,0.3081809068837002
packet_count_bwd_sum,7.97773665124879,0.2832276341411963
packet_count_bwd_min,0.05807547183353168,1.8883658902106102
packet_count_bwd_max,1.295348988216907,0.31661614819655315
byte_count_fwd_mean,132.09607548680475,1.9750579439941873
byte_count_fwd_std,32.888028973051334,1.4158430900976395
byte_count_fwd_sum,6.784398538204341,0.6279580374114395
byte_count_fwd_min,6.760878126554647,0.602312399181625
byte_count_fwd_max,6.1921942382656265,0.6203413866914252
byte_count_bwd_mean,4.351634007857523,0.4000215792572033
byte_count_bwd_std,2.0377545049881505,0.3375649327096358
byte_count_bwd_sum,7.426408478763138,0.40372133137992106
byte_count_bwd_min,0.06452689693160614,3.1951553534417294
byte_count_bwd_max,2.6694838205388267,0.3476813878794109
fwd_pkt_len_max_mean,4.604707056355542,0.7735497029508459
fwd_pkt_len_max_std,6.597890833430321,1.019110172619499
fwd_pkt_len_max_sum,23.886368019665277,54.07212467945607
fwd_pkt_len_max_min,0.15127736822393759,1.089605622076471
fwd_pkt_len_max_max,13.111444474067309,15.337923459565271
fwd_pkt_len_min_mean,14.260929888023803,10.89251445314089
fwd_pkt_len_min_std,6.237801452683858,3.326421237141448
fwd_pkt_len_min_sum,0.9351659196509081,0.5820530084926246
fwd_pkt_len_min_min,0.11929631759934566,0.5099194542137159
fwd_pkt_len_min_max,0.7170804781535228,0.7195154795122226
fwd_pkt_len_mean_mean,8.20976674924995,6.737141334225181
fwd_pkt_len_mean_std,5.6036638641663945,2.6536605048851873
fwd_pkt_len_mean_sum,30.044706630304404,28.842766112115775
fwd_pkt_len_mean_min,0.14055280300889775,0.5391931437982903
fwd_pkt_len_mean_max,9.835834167247494,7.533198751131469
fwd_pkt_len_std_mean,4.068766753985027,1.0006765001638114
fwd_pkt_len_std_std,7.317811880939646,1.7825632715895259
fwd_pkt_len_std_sum,61.38628585202568,95.47716515958275
fwd_pkt_len_std_min,0.2715746562994308,34.13960683164149
fwd_pkt_len_std_max,2.8895943944084017,1.2355445108044896
bwd_pkt_len_max_mean,5.734565254731902,0.5641335522011148
bwd_pkt_len_max_std,13.071803227155018,1.3028031539796319
bwd_pkt_len_max_sum,25.89236222577233,5.384553534626469
bwd_pkt_len_max_min,0.1046691270068141,5.257199975109068
bwd_pkt_len_max_max,0.6102925535112116,1.539771015079273
bwd_pkt_len_min_mean,0.24314340747875002,0.14804519509679767
bwd_pkt_len_min_std,2.046114522327251,0.495976226374482
bwd_pkt_len_min_sum,1.0546917104130376,0.6303562283515562
bwd_pkt_len_min_min,0.0,0.0
bwd_pkt_len_min_max,14.967357547062274,2.6557056371786216
bwd_pkt_len_mean_mean,1.8787204728275424,0.3152658558037881
bwd_pkt_len_mean_std,1.8032119485008526,0.4117286553424015
bwd_pkt_len_mean_sum,16.377889646057824,3.212820219585291
bwd_pkt_len_mean_min,0.09195941371711372,3.9445486275768955
bwd_pkt_len_mean_max,2.3944403975600204,1.8612994799082725
bwd_pkt_len_std_mean,4.133180451978756,0.687794294309343
bwd_pkt_len_std_std,5.254376582306069,0.6545474549709551
bwd_pkt_len_std_sum,49.618327217215835,9.010930388110868
bwd_pkt_len_std_min,0.09597196080827528,4.246871995218644
bwd_pkt_len_std_max,57.99858259307741,55.37056743556328
bytes_per_sec_mean,1.7355537943903874,0.9167321969971793
bytes_per_sec_std,3.3395223978933166,0.8898356031551936
bytes_per_sec_sum,4.823640156619438,1.1221688844508189
bytes_per_sec_min,1.3508662419523687,1.2373522745355303
bytes_per_sec_max,12.183634488390068,1.670201350019614
packets_per_sec_mean,4.058472671468049,1.1076211949667936
packets_per_sec_std,16.159763509668544,2.627623377838682
packets_per_sec_sum,8.303295197954842,1.194775300395383
packets_per_sec_min,208.0355798746112,4756.283227581955
packets_per_sec_max,70.71964030817162,7.976248745441958
flow_iat_mean_mean,0.20372433067463266,0.15812667406654332
flow_iat_mean_std,0.08048080611067052,0.06200847906213663
flow_iat_mean_sum,0.15198632299806572,0.025763796562126982
flow_iat_mean_min,0.026316217364141987,0.4812050165216204
flow_iat_mean_max,0.6372289630210028,0.23259646370000667
flow_iat_std_mean,14.01384703195722,3.781485033657751
flow_iat_std_std,1.2832538109365699,0.7560872407002541
flow_iat_std_sum,1.2474121995354972,0.45313672931357735
flow_iat_std_min,0.01556462920357272,0.5322886582197778
flow_iat_std_max,0.30687075314928447,0.32521408939041807
flow_iat_max_mean,1.2768742535643838,0.3655466820894058
flow_iat_max_std,0.152240852470316,0.11526116816746163
flow_iat_max_sum,0.3785435079081494,0.08191088532155302
flow_iat_max_min,0.03023585130585711,0.4994744460909621
flow_iat_max_max,0.26628987558426676,0.14275604393578756
flow_iat_min_mean,0.08334303391070515,0.1532430228326971
flow_iat_min_std,0.09780399550014852,0.06752322726645149
flow_iat_min_sum,0.139204586255955,0.02388802953264403
flow_iat_min_min,0.025597480886644687,0.4818402211175935
