threshold,f1_mean,precision_mean,recall_mean,fpr_mean,roc_auc_mean,pr_auc_mean,total_tp,total_fp,total_fn,total_tn,horizon
0.1,0.53000333000333,0.37638888888888883,1.0,1.0,0.4289722222222222,0.4939418381961289,49,69,0,0,1
0.15,0.53000333000333,0.37638888888888883,1.0,1.0,0.4289722222222222,0.4939418381961289,49,69,0,0,1
0.2,0.53000333000333,0.37638888888888883,1.0,1.0,0.4289722222222222,0.4939418381961289,49,69,0,0,1
0.25,0.46333666333666335,0.32638888888888884,0.9,1.0,0.4289722222222222,0.4939418381961289,44,69,5,0,1
0.3,0.5087912087912089,0.38888888888888884,0.9,0.8,0.4289722222222222,0.4939418381961289,44,59,5,10,1
0.35,0.3139194139194139,0.24444444444444446,0.6,0.5,0.4289722222222222,0.4939418381961289,19,32,30,37,1
0.4,0.11868131868131868,0.07777777777777777,0.3,0.3,0.4289722222222222,0.4939418381961289,6,15,43,54,1
0.45,0.0,0.0,0.0,0.0,0.4289722222222222,0.4939418381961289,0,0,49,69,1
0.5,0.0,0.0,0.0,0.0,0.4289722222222222,0.4939418381961289,0,0,49,69,1
0.55,0.0,0.0,0.0,0.0,0.4289722222222222,0.4939418381961289,0,0,49,69,1
0.6,0.0,0.0,0.0,0.0,0.4289722222222222,0.4939418381961289,0,0,49,69,1
0.65,0.0,0.0,0.0,0.0,0.4289722222222222,0.4939418381961289,0,0,49,69,1
0.7,0.0,0.0,0.0,0.0,0.4289722222222222,0.4939418381961289,0,0,49,69,1
0.75,0.0,0.0,0.0,0.0,0.4289722222222222,0.4939418381961289,0,0,49,69,1
0.8,0.0,0.0,0.0,0.0,0.4289722222222222,0.4939418381961289,0,0,49,69,1
0.85,0.0,0.0,0.0,0.0,0.4289722222222222,0.4939418381961289,0,0,49,69,1
0.9,0.0,0.0,0.0,0.0,0.4289722222222222,0.4939418381961289,0,0,49,69,1
0.1,0.5376223776223776,0.38055555555555554,1.0,1.0,0.5184709496852354,0.5901013977852213,49,69,0,0,2
0.15,0.5376223776223776,0.38055555555555554,1.0,1.0,0.5184709496852354,0.5901013977852213,49,69,0,0,2
0.2,0.5376223776223776,0.38055555555555554,1.0,1.0,0.5184709496852354,0.5901013977852213,49,69,0,0,2
0.25,0.5306293706293707,0.37896825396825395,0.975,0.9800000000000001,0.5184709496852354,0.5901013977852213,48,68,1,1,2
0.3,0.4475124875124875,0.3194444444444445,0.8,0.8400000000000001,0.5184709496852354,0.5901013977852213,44,61,5,8,2
0.35,0.18406926406926405,0.13333333333333333,0.3,0.3,0.5184709496852354,0.5901013977852213,24,28,25,41,2
0.4,0.1295238095238095,0.09583333333333333,0.2,0.2,0.5184709496852354,0.5901013977852213,21,23,28,46,2
0.45,0.06285714285714286,0.04583333333333333,0.1,0.1,0.5184709496852354,0.5901013977852213,11,13,38,56,2
0.5,0.0,0.0,0.0,0.0,0.5184709496852354,0.5901013977852213,0,0,49,69,2
0.55,0.0,0.0,0.0,0.0,0.5184709496852354,0.5901013977852213,0,0,49,69,2
0.6,0.0,0.0,0.0,0.0,0.5184709496852354,0.5901013977852213,0,0,49,69,2
0.65,0.0,0.0,0.0,0.0,0.5184709496852354,0.5901013977852213,0,0,49,69,2
0.7,0.0,0.0,0.0,0.0,0.5184709496852354,0.5901013977852213,0,0,49,69,2
0.75,0.0,0.0,0.0,0.0,0.5184709496852354,0.5901013977852213,0,0,49,69,2
0.8,0.0,0.0,0.0,0.0,0.5184709496852354,0.5901013977852213,0,0,49,69,2
0.85,0.0,0.0,0.0,0.0,0.5184709496852354,0.5901013977852213,0,0,49,69,2
0.9,0.0,0.0,0.0,0.0,0.5184709496852354,0.5901013977852213,0,0,49,69,2
0.1,0.5680985680985682,0.40972222222222215,1.0,1.0,0.35971201814058956,0.5161234812005272,53,65,0,0,5
0.15,0.5680985680985682,0.40972222222222215,1.0,1.0,0.35971201814058956,0.5161234812005272,53,65,0,0,5
0.2,0.5680985680985682,0.40972222222222215,1.0,1.0,0.35971201814058956,0.5161234812005272,53,65,0,0,5
0.25,0.5611055611055612,0.4081349206349206,0.975,0.9800000000000001,0.35971201814058956,0.5161234812005272,52,64,1,1,5
0.3,0.5557664557664558,0.41083333333333333,0.95,0.9400000000000001,0.35971201814058956,0.5161234812005272,51,62,2,3,5
0.35,0.3931401931401931,0.2944444444444444,0.64,0.8200000000000001,0.35971201814058956,0.5161234812005272,42,56,11,9,5
0.4,0.13333333333333333,0.1,0.2,0.28,0.35971201814058956,0.5161234812005272,17,21,36,44,5
0.45,0.0,0.0,0.0,0.04,0.35971201814058956,0.5161234812005272,0,2,53,63,5
0.5,0.0,0.0,0.0,0.0,0.35971201814058956,0.5161234812005272,0,0,53,65,5
0.55,0.0,0.0,0.0,0.0,0.35971201814058956,0.5161234812005272,0,0,53,65,5
0.6,0.0,0.0,0.0,0.0,0.35971201814058956,0.5161234812005272,0,0,53,65,5
0.65,0.0,0.0,0.0,0.0,0.35971201814058956,0.5161234812005272,0,0,53,65,5
0.7,0.0,0.0,0.0,0.0,0.35971201814058956,0.5161234812005272,0,0,53,65,5
0.75,0.0,0.0,0.0,0.0,0.35971201814058956,0.5161234812005272,0,0,53,65,5
0.8,0.0,0.0,0.0,0.0,0.35971201814058956,0.5161234812005272,0,0,53,65,5
0.85,0.0,0.0,0.0,0.0,0.35971201814058956,0.5161234812005272,0,0,53,65,5
0.9,0.0,0.0,0.0,0.0,0.35971201814058956,0.5161234812005272,0,0,53,65,5
