k,model,rmse,mae,mse,protocol
1,lstm_gaussian,1.9180383682250977,0.5521841645240784,3.6788713932037354,chronological split
1,persistence,3.1483232975006104,0.45911869406700134,9.91193962097168,chronological split
1,lagged_linear_pca,30.34006690979004,1.972338318824768,920.5197143554688,chronological split
2,lstm_gaussian,2.2077388763427734,0.620876669883728,4.874111175537109,chronological split
2,persistence,3.0458977222442627,0.4380505681037903,9.277493476867676,chronological split
2,lagged_linear_pca,27.820463180541992,1.870896577835083,773.9782104492188,chronological split
3,lstm_gaussian,3.191920280456543,0.6686148047447205,10.1883544921875,chronological split
3,persistence,3.8918025493621826,0.4925898313522339,15.146126747131348,chronological split
3,lagged_linear_pca,32.60926055908203,2.317617654800415,1063.3638916015625,chronological split
