feature,coef
window_size_bwd_std,1.8877451875533595
fwd_pkt_len_std_mean,1.8821730511026393
byte_count_bwd_std,-1.7243609133683482
bwd_pkt_len_std_mean,-1.655459268912325
fwd_pkt_len_max_std,-1.620203754950744
pkt_tcp_retrans_count,1.3426872944790904
byte_count_fwd_max,1.3397053777807264
flow_iat_std_std,-1.3010827933619615
bytes_per_sec_mean,-1.2949384902247474
bytes_per_sec_max,1.2656708679385074
bwd_iat_std_mean,1.2470343358341638
pkt_port_scan_seq_score,1.2453186512682246
window_size_fwd_std,-1.1917413723008503
down_up_ratio_std,-1.1859399369074235
packet_count_bwd_std,1.1763725791209874
bwd_iat_max_std,-1.0845946685707628
pkt_len_std_mean,-1.0136397034956521
bwd_seg_size_avg_max,0.9963500544969396
bwd_pkt_len_mean_max,0.9963500544966751
ack_flag_cnt_std,0.9935853030007288
bwd_iat_min_std,-0.9891184402619027
bwd_pkt_len_std_std,0.9846820347652356
bwd_iat_mean_std,0.9843189458975686
bwd_pkts_per_sec_sum,-0.9499578894909377
pkt_len_min_std,0.9224471579661394
bytes_per_sec_sum,-0.8958980961318197
bwd_iat_min_max,0.8810102081228915
fwd_seg_size_min_mean,0.8769541403411141
pkt_len_mean_max,-0.8644961120826837
fwd_pkt_len_std_std,0.8563552578688185
urg_flag_cnt_mean,-0.8531116580649619
bwd_pkt_len_min_mean,0.8411324425469022
bwd_pkt_len_std_max,0.8279563085548359
byte_count_bwd_max,-0.8032561206343939
urg_flag_cnt_max,0.8005156415236364
subflow_bwd_byts_sum,-0.7757521344253518
active_max_sum,0.7279577325754113
pkt_len_mean_mean,-0.7001501695413646
bwd_iat_mean_sum,-0.6968501752173002
pkt_len_max_mean,-0.6906949900410214
byte_count_fwd_std,-0.6868206686143273
bwd_pkts_per_sec_std,0.6864748311478243
pkt_size_avg_mean,-0.6829948094885109
ece_flag_cnt_std,0.6805085599388809
duration_sec_std,0.6780296659104729
pkt_payload_size_p95,-0.6761500084419512
bwd_pkt_len_max_std,0.6631665481151559
rst_flag_cnt_std,0.6565557715499355
ece_flag_cnt_sum,0.654932803097395
rst_flag_cnt_sum,0.6541159808852132
active_mean_sum,-0.6528886899279569
window_size_bwd_sum,-0.6518154405316869
